notch,srg,mcp
aas/e,net/minecraft/inventory/InventoryMerchant/field_70473_e,net/minecraft/inventory/InventoryMerchant/currentRecipeIndex
vy/f,net/minecraft/village/VillageDoorInfo/field_75475_f,net/minecraft/village/VillageDoorInfo/lastActivityTimestamp
vy/e,net/minecraft/village/VillageDoorInfo/field_75478_e,net/minecraft/village/VillageDoorInfo/insideDirectionZ
vy/d,net/minecraft/village/VillageDoorInfo/field_75477_d,net/minecraft/village/VillageDoorInfo/insideDirectionX
bov/f,net/minecraft/client/renderer/entity/RenderSpider/field_110890_f,net/minecraft/client/renderer/entity/RenderSpider/spiderTextures
uv/d,net/minecraft/entity/ai/EntityAIOcelotAttack/field_75408_d,net/minecraft/entity/ai/EntityAIOcelotAttack/attackCountdown
uv/b,net/minecraft/entity/ai/EntityAIOcelotAttack/field_75409_b,net/minecraft/entity/ai/EntityAIOcelotAttack/theEntity
uv/c,net/minecraft/entity/ai/EntityAIOcelotAttack/field_75410_c,net/minecraft/entity/ai/EntityAIOcelotAttack/theVictim
uv/a,net/minecraft/entity/ai/EntityAIOcelotAttack/field_75411_a,net/minecraft/entity/ai/EntityAIOcelotAttack/theWorld
aab/a,net/minecraft/inventory/ContainerBrewingStand$Potion/field_75244_a,net/minecraft/inventory/ContainerBrewingStand$Potion/player
boe/a,net/minecraft/client/renderer/entity/RenderMagmaCube/field_110873_a,net/minecraft/client/renderer/entity/RenderMagmaCube/magmaCubeTextures
net/minecraft/realms/RealmsEditBox/CURSOR_APPEND_CHARACTER,net/minecraft/realms/RealmsEditBox/CURSOR_APPEND_CHARACTER,net/minecraft/realms/RealmsEditBox/CURSOR_APPEND_CHARACTER
alb/M,net/minecraft/block/BlockFire/field_149850_M,net/minecraft/block/BlockFire/field_149850_M
alb/a,net/minecraft/block/BlockFire/field_149849_a,net/minecraft/block/BlockFire/field_149849_a
bns/a,net/minecraft/client/renderer/entity/RenderFish/field_110792_a,net/minecraft/client/renderer/entity/RenderFish/field_110792_a
alb/b,net/minecraft/block/BlockFire/field_149848_b,net/minecraft/block/BlockFire/field_149848_b
bcs/s,net/minecraft/client/gui/ScreenChatOptions/field_146397_s,net/minecraft/client/gui/ScreenChatOptions/field_146397_s
bcs/r,net/minecraft/client/gui/ScreenChatOptions/field_146398_r,net/minecraft/client/gui/ScreenChatOptions/field_146398_r
awb/a,net/minecraft/world/gen/structure/StructureVillagePieces$Path/field_74934_a,net/minecraft/world/gen/structure/StructureVillagePieces$Path/averageGroundLevel
yq/bw,net/minecraft/entity/monster/EntityZombie/field_146073_bw,net/minecraft/entity/monster/EntityZombie/field_146073_bw
vh/b,net/minecraft/entity/ai/EntityAISit/field_75271_b,net/minecraft/entity/ai/EntityAISit/isSitting
vh/a,net/minecraft/entity/ai/EntityAISit/field_75272_a,net/minecraft/entity/ai/EntityAISit/theEntity
yq/bt,net/minecraft/entity/monster/EntityZombie/field_82234_d,net/minecraft/entity/monster/EntityZombie/conversionTime
yq/bs,net/minecraft/entity/monster/EntityZombie/field_146075_bs,net/minecraft/entity/monster/EntityZombie/field_146075_bs
yq/bv,net/minecraft/entity/monster/EntityZombie/field_146074_bv,net/minecraft/entity/monster/EntityZombie/field_146074_bv
yq/bu,net/minecraft/entity/monster/EntityZombie/field_146076_bu,net/minecraft/entity/monster/EntityZombie/field_146076_bu
bcs/a,net/minecraft/client/gui/ScreenChatOptions/field_146399_a,net/minecraft/client/gui/ScreenChatOptions/field_146399_a
bcs/h,net/minecraft/client/gui/ScreenChatOptions/field_146400_h,net/minecraft/client/gui/ScreenChatOptions/field_146400_h
yq/bp,net/minecraft/entity/monster/EntityZombie/field_110186_bp,net/minecraft/entity/monster/EntityZombie/field_110186_bp
bcs/g,net/minecraft/client/gui/ScreenChatOptions/field_146396_g,net/minecraft/client/gui/ScreenChatOptions/field_146396_g
bcs/f,net/minecraft/client/gui/ScreenChatOptions/field_146395_f,net/minecraft/client/gui/ScreenChatOptions/field_146395_f
yq/br,net/minecraft/entity/monster/EntityZombie/field_110188_br,net/minecraft/entity/monster/EntityZombie/babySpeedBoostModifier
yq/bq,net/minecraft/entity/monster/EntityZombie/field_110187_bq,net/minecraft/entity/monster/EntityZombie/babySpeedBoostUUID
bcs/i,net/minecraft/client/gui/ScreenChatOptions/field_146401_i,net/minecraft/client/gui/ScreenChatOptions/field_146401_i
is/a,net/minecraft/network/play/client/C16PacketClientStatus/field_149437_a,net/minecraft/network/play/client/C16PacketClientStatus/field_149437_a
ue/e,net/minecraft/entity/ai/EntityAIFleeSun/field_75369_e,net/minecraft/entity/ai/EntityAIFleeSun/movementSpeed
anh/N,net/minecraft/block/BlockSand/field_149839_N,net/minecraft/block/BlockSand/field_149839_N
ue/f,net/minecraft/entity/ai/EntityAIFleeSun/field_75367_f,net/minecraft/entity/ai/EntityAIFleeSun/theWorld
ue/c,net/minecraft/entity/ai/EntityAIFleeSun/field_75371_c,net/minecraft/entity/ai/EntityAIFleeSun/shelterY
ue/d,net/minecraft/entity/ai/EntityAIFleeSun/field_75368_d,net/minecraft/entity/ai/EntityAIFleeSun/shelterZ
ue/a,net/minecraft/entity/ai/EntityAIFleeSun/field_75372_a,net/minecraft/entity/ai/EntityAIFleeSun/theCreature
ue/b,net/minecraft/entity/ai/EntityAIFleeSun/field_75370_b,net/minecraft/entity/ai/EntityAIFleeSun/shelterX
net/minecraft/realms/RealmsServerAddress/port,net/minecraft/realms/RealmsServerAddress/port,net/minecraft/realms/RealmsServerAddress/port
ayy/a,net/minecraft/world/storage/WorldInfo$6/field_85115_a,net/minecraft/world/storage/WorldInfo$6/worldInfoInstance
ach/a,net/minecraft/item/ItemDoor/field_77870_a,net/minecraft/item/ItemDoor/doorMaterial
bpy/a,net/minecraft/client/renderer/StitcherException/field_98149_a,net/minecraft/client/renderer/StitcherException/field_98149_a
anh/b,net/minecraft/block/BlockSand/field_149837_b,net/minecraft/block/BlockSand/field_149837_b
anh/a,net/minecraft/block/BlockSand/field_149838_a,net/minecraft/block/BlockSand/field_149838_a
bey/u,net/minecraft/client/gui/GuiRepair/field_147093_u,net/minecraft/client/gui/GuiRepair/field_147093_u
xz/bp,net/minecraft/entity/monster/EntityCreeper/field_70834_e,net/minecraft/entity/monster/EntityCreeper/lastActiveTime
bey/v,net/minecraft/client/gui/GuiRepair/field_147092_v,net/minecraft/client/gui/GuiRepair/field_147092_v
bey/w,net/minecraft/client/gui/GuiRepair/field_147091_w,net/minecraft/client/gui/GuiRepair/field_147091_w
bey/x,net/minecraft/client/gui/GuiRepair/field_147094_x,net/minecraft/client/gui/GuiRepair/field_147094_x
xz/bs,net/minecraft/entity/monster/EntityCreeper/field_82226_g,net/minecraft/entity/monster/EntityCreeper/explosionRadius
xz/br,net/minecraft/entity/monster/EntityCreeper/field_82225_f,net/minecraft/entity/monster/EntityCreeper/fuseTime
xz/bq,net/minecraft/entity/monster/EntityCreeper/field_70833_d,net/minecraft/entity/monster/EntityCreeper/timeSinceIgnited
net/minecraft/realms/ServerPing/lastPingSnapshot,net/minecraft/realms/ServerPing/lastPingSnapshot,net/minecraft/realms/ServerPing/lastPingSnapshot
beh/a,net/minecraft/client/gui/achievement/GuiAchievement/field_146261_a,net/minecraft/client/gui/achievement/GuiAchievement/field_146261_a
beh/f,net/minecraft/client/gui/achievement/GuiAchievement/field_146259_f,net/minecraft/client/gui/achievement/GuiAchievement/field_146259_f
beh/g,net/minecraft/client/gui/achievement/GuiAchievement/field_146260_g,net/minecraft/client/gui/achievement/GuiAchievement/field_146260_g
beh/h,net/minecraft/client/gui/achievement/GuiAchievement/field_146267_h,net/minecraft/client/gui/achievement/GuiAchievement/field_146267_h
beh/i,net/minecraft/client/gui/achievement/GuiAchievement/field_146268_i,net/minecraft/client/gui/achievement/GuiAchievement/field_146268_i
amv/c,net/minecraft/block/BlockPressurePlate$Sensitivity/players,net/minecraft/block/BlockPressurePlate$Sensitivity/players
amv/d,net/minecraft/block/BlockPressurePlate$Sensitivity/$VALUES,net/minecraft/block/BlockPressurePlate$Sensitivity/$VALUES
amv/a,net/minecraft/block/BlockPressurePlate$Sensitivity/everything,net/minecraft/block/BlockPressurePlate$Sensitivity/everything
amv/b,net/minecraft/block/BlockPressurePlate$Sensitivity/mobs,net/minecraft/block/BlockPressurePlate$Sensitivity/mobs
ib/a,net/minecraft/network/play/server/S06PacketUpdateHealth/field_149336_a,net/minecraft/network/play/server/S06PacketUpdateHealth/field_149336_a
ib/c,net/minecraft/network/play/server/S06PacketUpdateHealth/field_149335_c,net/minecraft/network/play/server/S06PacketUpdateHealth/field_149335_c
ib/b,net/minecraft/network/play/server/S06PacketUpdateHealth/field_149334_b,net/minecraft/network/play/server/S06PacketUpdateHealth/field_149334_b
net/minecraft/realms/RealmsScreen/height,net/minecraft/realms/RealmsScreen/height,net/minecraft/realms/RealmsScreen/height
beh/n,net/minecraft/client/gui/achievement/GuiAchievement/field_146262_n,net/minecraft/client/gui/achievement/GuiAchievement/field_146262_n
abe/b,net/minecraft/item/ItemBlockWithMetadata/field_150950_b,net/minecraft/item/ItemBlockWithMetadata/field_150950_b
beh/j,net/minecraft/client/gui/achievement/GuiAchievement/field_146265_j,net/minecraft/client/gui/achievement/GuiAchievement/field_146265_j
beh/k,net/minecraft/client/gui/achievement/GuiAchievement/field_146266_k,net/minecraft/client/gui/achievement/GuiAchievement/field_146266_k
beh/l,net/minecraft/client/gui/achievement/GuiAchievement/field_146263_l,net/minecraft/client/gui/achievement/GuiAchievement/field_146263_l
beh/m,net/minecraft/client/gui/achievement/GuiAchievement/field_146264_m,net/minecraft/client/gui/achievement/GuiAchievement/field_146264_m
axv/d,net/minecraft/world/gen/layer/GenLayerRiverMix/field_75911_c,net/minecraft/world/gen/layer/GenLayerRiverMix/riverPatternGeneratorChain
axv/c,net/minecraft/world/gen/layer/GenLayerRiverMix/field_75910_b,net/minecraft/world/gen/layer/GenLayerRiverMix/biomePatternGeneratorChain
sp/d,net/minecraft/command/IEntitySelector$ArmoredMob/field_96567_c,net/minecraft/command/IEntitySelector$ArmoredMob/field_96567_c
hp/a,net/minecraft/network/play/server/S0APacketUseBed/field_149097_a,net/minecraft/network/play/server/S0APacketUseBed/field_149097_a
brn/a,net/minecraft/client/resources/SkinManager$3$1/field_152803_a,net/minecraft/client/resources/SkinManager$3$1/field_152803_a
brn/b,net/minecraft/client/resources/SkinManager$3$1/field_152804_b,net/minecraft/client/resources/SkinManager$3$1/field_152804_b
hp/b,net/minecraft/network/play/server/S0APacketUseBed/field_149095_b,net/minecraft/network/play/server/S0APacketUseBed/field_149095_b
hp/c,net/minecraft/network/play/server/S0APacketUseBed/field_149096_c,net/minecraft/network/play/server/S0APacketUseBed/field_149096_c
hp/d,net/minecraft/network/play/server/S0APacketUseBed/field_149094_d,net/minecraft/network/play/server/S0APacketUseBed/field_149094_d
bgn/k,net/minecraft/client/gui/stream/GuiIngestServers$ServerList/field_152435_k,net/minecraft/client/gui/stream/GuiIngestServers$ServerList/field_152435_k
tb/e,net/minecraft/entity/item/EntityPainting/field_70522_e,net/minecraft/entity/item/EntityPainting/art
adk/b,net/minecraft/item/ItemMinecart$1/field_96465_b,net/minecraft/item/ItemMinecart$1/behaviourDefaultDispenseItem
net/minecraft/realms/RealmsScreen/SKIN_HEAD_HEIGHT,net/minecraft/realms/RealmsScreen/SKIN_HEAD_HEIGHT,net/minecraft/realms/RealmsScreen/SKIN_HEAD_HEIGHT
gm/a,net/minecraft/network/play/server/S2EPacketCloseWindow/field_148896_a,net/minecraft/network/play/server/S2EPacketCloseWindow/field_148896_a
