notch,srg,mcp
st/e,net/minecraft/entity/item/EntityItemFrame/field_82337_e,net/minecraft/entity/item/EntityItemFrame/itemDropChance
auq/a,net/minecraft/world/gen/structure/StructureStrongholdPieces$Library/field_75007_b,net/minecraft/world/gen/structure/StructureStrongholdPieces$Library/strongholdLibraryChestContents
bmc/a,net/minecraft/client/renderer/ImageBufferDownload/field_78438_a,net/minecraft/client/renderer/ImageBufferDownload/imageData
bmc/b,net/minecraft/client/renderer/ImageBufferDownload/field_78436_b,net/minecraft/client/renderer/ImageBufferDownload/imageWidth
bmc/c,net/minecraft/client/renderer/ImageBufferDownload/field_78437_c,net/minecraft/client/renderer/ImageBufferDownload/imageHeight
auq/b,net/minecraft/world/gen/structure/StructureStrongholdPieces$Library/field_75008_c,net/minecraft/world/gen/structure/StructureStrongholdPieces$Library/isLargeRoom
blq/c,net/minecraft/client/renderer/EntitySorter/field_78948_c,net/minecraft/client/renderer/EntitySorter/entityPosZ
blq/b,net/minecraft/client/renderer/EntitySorter/field_78947_b,net/minecraft/client/renderer/EntitySorter/entityPosY
blq/a,net/minecraft/client/renderer/EntitySorter/field_78949_a,net/minecraft/client/renderer/EntitySorter/entityPosX
ht/b,net/minecraft/network/play/server/S19PacketEntityHeadLook/field_149383_b,net/minecraft/network/play/server/S19PacketEntityHeadLook/field_149383_b
ht/a,net/minecraft/network/play/server/S19PacketEntityHeadLook/field_149384_a,net/minecraft/network/play/server/S19PacketEntityHeadLook/field_149384_a
tf/c,net/minecraft/entity/DataWatcher$WatchableObject/field_75677_c,net/minecraft/entity/DataWatcher$WatchableObject/watchedObject
tf/d,net/minecraft/entity/DataWatcher$WatchableObject/field_75675_d,net/minecraft/entity/DataWatcher$WatchableObject/watched
tf/a,net/minecraft/entity/DataWatcher$WatchableObject/field_75678_a,net/minecraft/entity/DataWatcher$WatchableObject/objectType
tf/b,net/minecraft/entity/DataWatcher$WatchableObject/field_75676_b,net/minecraft/entity/DataWatcher$WatchableObject/dataValueId
baq/a,net/minecraft/client/Minecraft$10/field_90051_a,net/minecraft/client/Minecraft$10/theMinecraft
gq/a,net/minecraft/network/play/server/S2FPacketSetSlot/field_149179_a,net/minecraft/network/play/server/S2FPacketSetSlot/field_149179_a
gq/b,net/minecraft/network/play/server/S2FPacketSetSlot/field_149177_b,net/minecraft/network/play/server/S2FPacketSetSlot/field_149177_b
gq/c,net/minecraft/network/play/server/S2FPacketSetSlot/field_149178_c,net/minecraft/network/play/server/S2FPacketSetSlot/field_149178_c
sc/a,net/minecraft/entity/Entity$2/field_96564_a,net/minecraft/entity/Entity$2/theEntity
hc/d,net/minecraft/network/play/server/S29PacketSoundEffect/field_149215_d,net/minecraft/network/play/server/S29PacketSoundEffect/field_149215_d
hc/e,net/minecraft/network/play/server/S29PacketSoundEffect/field_149216_e,net/minecraft/network/play/server/S29PacketSoundEffect/field_149216_e
hc/f,net/minecraft/network/play/server/S29PacketSoundEffect/field_149214_f,net/minecraft/network/play/server/S29PacketSoundEffect/field_149214_f
atn/b,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Corridor/field_111021_b,net/minecraft/world/gen/structure/StructureNetherBridgePieces$Corridor/field_111021_b
hc/a,net/minecraft/network/play/server/S29PacketSoundEffect/field_149219_a,net/minecraft/network/play/server/S29PacketSoundEffect/field_149219_a
hc/b,net/minecraft/network/play/server/S29PacketSoundEffect/field_149217_b,net/minecraft/network/play/server/S29PacketSoundEffect/field_149217_b
hc/c,net/minecraft/network/play/server/S29PacketSoundEffect/field_149218_c,net/minecraft/network/play/server/S29PacketSoundEffect/field_149218_c
net/minecraft/realms/RealmsEditBox/visible,net/minecraft/realms/RealmsEditBox/visible,net/minecraft/realms/RealmsEditBox/visible
bnw/l,net/minecraft/client/renderer/entity/RenderBiped/field_82424_k,net/minecraft/client/renderer/entity/RenderBiped/bipedArmorFilenamePrefix
rq/q,net/minecraft/util/EntityDamageSourceIndirect/field_76387_p,net/minecraft/util/EntityDamageSourceIndirect/indirectEntity
akt/a,net/minecraft/block/BlockEndPortal/field_149948_a,net/minecraft/block/BlockEndPortal/field_149948_a
net/minecraft/realms/RealmsConnect/aborted,net/minecraft/realms/RealmsConnect/aborted,net/minecraft/realms/RealmsConnect/aborted
bnw/f,net/minecraft/client/renderer/entity/RenderBiped/field_77070_b,net/minecraft/client/renderer/entity/RenderBiped/field_77070_b
bnw/g,net/minecraft/client/renderer/entity/RenderBiped/field_82423_g,net/minecraft/client/renderer/entity/RenderBiped/field_82423_g
bnw/h,net/minecraft/client/renderer/entity/RenderBiped/field_82425_h,net/minecraft/client/renderer/entity/RenderBiped/field_82425_h
bnw/k,net/minecraft/client/renderer/entity/RenderBiped/field_110859_k,net/minecraft/client/renderer/entity/RenderBiped/field_110859_k
net/minecraft/realms/RealmsEditBox/inFocus,net/minecraft/realms/RealmsEditBox/inFocus,net/minecraft/realms/RealmsEditBox/inFocus
bnf/a,net/minecraft/client/renderer/entity/RenderCaveSpider/field_110893_a,net/minecraft/client/renderer/entity/RenderCaveSpider/caveSpiderTextures
bmt/b,net/minecraft/client/renderer/tileentity/RenderEndPortal/field_147528_b,net/minecraft/client/renderer/tileentity/RenderEndPortal/field_147528_b
bmt/c,net/minecraft/client/renderer/tileentity/RenderEndPortal/field_147529_c,net/minecraft/client/renderer/tileentity/RenderEndPortal/field_147529_c
bmt/d,net/minecraft/client/renderer/tileentity/RenderEndPortal/field_147526_d,net/minecraft/client/renderer/tileentity/RenderEndPortal/field_147526_d
bmt/e,net/minecraft/client/renderer/tileentity/RenderEndPortal/field_147527_e,net/minecraft/client/renderer/tileentity/RenderEndPortal/field_147527_e
net/minecraft/realms/RealmsButton/proxy,net/minecraft/realms/RealmsButton/proxy,net/minecraft/realms/RealmsButton/proxy
fn/g,net/minecraft/util/ChatStyle/field_150244_g,net/minecraft/util/ChatStyle/obfuscated
fn/h,net/minecraft/util/ChatStyle/field_150251_h,net/minecraft/util/ChatStyle/chatClickEvent
fn/i,net/minecraft/util/ChatStyle/field_150252_i,net/minecraft/util/ChatStyle/chatHoverEvent
fn/j,net/minecraft/util/ChatStyle/field_150250_j,net/minecraft/util/ChatStyle/rootStyle
bbt/b,net/minecraft/util/Session$Type/MOJANG,net/minecraft/util/Session$Type/MOJANG
bbt/a,net/minecraft/util/Session$Type/LEGACY,net/minecraft/util/Session$Type/LEGACY
bbt/e,net/minecraft/util/Session$Type/$VALUES,net/minecraft/util/Session$Type/$VALUES
bbt/d,net/minecraft/util/Session$Type/field_152426_d,net/minecraft/util/Session$Type/field_152426_d
qn/a,net/minecraft/util/StringUtils/field_76339_a,net/minecraft/util/StringUtils/patternControlCode
bbt/c,net/minecraft/util/Session$Type/field_152425_c,net/minecraft/util/Session$Type/field_152425_c
bbc/a,net/minecraft/client/Minecraft$6/field_74503_a,net/minecraft/client/Minecraft$6/mc
fn/a,net/minecraft/util/ChatStyle/field_150249_a,net/minecraft/util/ChatStyle/parentStyle
fn/b,net/minecraft/util/ChatStyle/field_150247_b,net/minecraft/util/ChatStyle/color
fn/c,net/minecraft/util/ChatStyle/field_150248_c,net/minecraft/util/ChatStyle/bold
fn/d,net/minecraft/util/ChatStyle/field_150245_d,net/minecraft/util/ChatStyle/italic
avc/d,net/minecraft/world/gen/structure/StructureStrongholdPieces$Stronghold/field_143013_d,net/minecraft/world/gen/structure/StructureStrongholdPieces$Stronghold/field_143013_d
fn/e,net/minecraft/util/ChatStyle/field_150246_e,net/minecraft/util/ChatStyle/underlined
fn/f,net/minecraft/util/ChatStyle/field_150243_f,net/minecraft/util/ChatStyle/strikethrough
ajq/a,net/minecraft/block/BlockBrewingStand/field_149961_a,net/minecraft/block/BlockBrewingStand/field_149961_a
ajq/b,net/minecraft/block/BlockBrewingStand/field_149960_b,net/minecraft/block/BlockBrewingStand/iconBrewingStandBase
bdz/g,net/minecraft/client/gui/GuiShareToLan/field_146597_g,net/minecraft/client/gui/GuiShareToLan/field_146597_g
bdz/h,net/minecraft/client/gui/GuiShareToLan/field_146599_h,net/minecraft/client/gui/GuiShareToLan/field_146599_h
bdz/i,net/minecraft/client/gui/GuiShareToLan/field_146600_i,net/minecraft/client/gui/GuiShareToLan/field_146600_i
boz/a,net/minecraft/client/renderer/entity/RenderIronGolem/field_110899_a,net/minecraft/client/renderer/entity/RenderIronGolem/ironGolemTextures
v/b,net/minecraft/util/Util$EnumOS/SOLARIS,net/minecraft/util/Util$EnumOS/SOLARIS
v/a,net/minecraft/util/Util$EnumOS/LINUX,net/minecraft/util/Util$EnumOS/LINUX
v/d,net/minecraft/util/Util$EnumOS/OSX,net/minecraft/util/Util$EnumOS/OSX
v/c,net/minecraft/util/Util$EnumOS/WINDOWS,net/minecraft/util/Util$EnumOS/WINDOWS
v/f,net/minecraft/util/Util$EnumOS/$VALUES,net/minecraft/util/Util$EnumOS/$VALUES
v/e,net/minecraft/util/Util$EnumOS/UNKNOWN,net/minecraft/util/Util$EnumOS/UNKNOWN
ek/e,net/minecraft/network/NetworkManager$1/field_150714_e,net/minecraft/network/NetworkManager$1/field_150714_e
ek/d,net/minecraft/network/NetworkManager$1/field_150713_d,net/minecraft/network/NetworkManager$1/field_150713_d
ek/c,net/minecraft/network/NetworkManager$1/field_150716_c,net/minecraft/network/NetworkManager$1/field_150716_c
ek/b,net/minecraft/network/NetworkManager$1/field_150715_b,net/minecraft/network/NetworkManager$1/field_150715_b
ek/a,net/minecraft/network/NetworkManager$1/field_150717_a,net/minecraft/network/NetworkManager$1/field_150717_a
bdz/f,net/minecraft/client/gui/GuiShareToLan/field_146596_f,net/minecraft/client/gui/GuiShareToLan/field_146596_f
bdz/a,net/minecraft/client/gui/GuiShareToLan/field_146598_a,net/minecraft/client/gui/GuiShareToLan/field_146598_a
wf/br,net/minecraft/entity/passive/EntityAnimal/field_146084_br,net/minecraft/entity/passive/EntityAnimal/field_146084_br
aaw/a,net/minecraft/inventory/InventoryCraftResult/field_70467_a,net/minecraft/inventory/InventoryCraftResult/stackResult
wf/bp,net/minecraft/entity/passive/EntityAnimal/field_70881_d,net/minecraft/entity/passive/EntityAnimal/inLove
wf/bq,net/minecraft/entity/passive/EntityAnimal/field_70882_e,net/minecraft/entity/passive/EntityAnimal/breeding
e/a,net/minecraft/crash/CrashReport$3/field_71490_a,net/minecraft/crash/CrashReport$3/theCrashReport
alw/a,net/minecraft/block/BlockLiquid/field_149806_a,net/minecraft/block/BlockLiquid/field_149806_a
boz/f,net/minecraft/client/renderer/entity/RenderIronGolem/field_77050_a,net/minecraft/client/renderer/entity/RenderIronGolem/ironGolemModel
oy/a,net/minecraft/network/rcon/RConThreadQuery$Auth/field_72600_a,net/minecraft/network/rcon/RConThreadQuery$Auth/queryThread
dy/a,net/minecraft/nbt/NBTBase/field_82578_b,net/minecraft/nbt/NBTBase/NBTTypes
oy/b,net/minecraft/network/rcon/RConThreadQuery$Auth/field_72598_b,net/minecraft/network/rcon/RConThreadQuery$Auth/timestamp
oy/c,net/minecraft/network/rcon/RConThreadQuery$Auth/field_72599_c,net/minecraft/network/rcon/RConThreadQuery$Auth/randomChallenge
boi/f,net/minecraft/client/renderer/entity/RenderMinecart/field_94145_f,net/minecraft/client/renderer/entity/RenderMinecart/field_94145_f
oy/d,net/minecraft/network/rcon/RConThreadQuery$Auth/field_72596_d,net/minecraft/network/rcon/RConThreadQuery$Auth/requestId
boi/g,net/minecraft/client/renderer/entity/RenderMinecart/field_110804_g,net/minecraft/client/renderer/entity/RenderMinecart/minecartTextures
boi/a,net/minecraft/client/renderer/entity/RenderMinecart/field_77013_a,net/minecraft/client/renderer/entity/RenderMinecart/modelMinecart
aaf/f,net/minecraft/inventory/ContainerWorkbench/field_75160_f,net/minecraft/inventory/ContainerWorkbench/craftResult
aaf/g,net/minecraft/inventory/ContainerWorkbench/field_75161_g,net/minecraft/inventory/ContainerWorkbench/worldObj
aaf/h,net/minecraft/inventory/ContainerWorkbench/field_75164_h,net/minecraft/inventory/ContainerWorkbench/posX
aaf/a,net/minecraft/inventory/ContainerWorkbench/field_75162_e,net/minecraft/inventory/ContainerWorkbench/craftMatrix
bcw/i,net/minecraft/client/gui/GuiYesNo/field_146357_i,net/minecraft/client/gui/GuiYesNo/field_146357_i
aaf/i,net/minecraft/inventory/ContainerWorkbench/field_75165_i,net/minecraft/inventory/ContainerWorkbench/posY
bnw/a,net/minecraft/client/renderer/entity/RenderBiped/field_77071_a,net/minecraft/client/renderer/entity/RenderBiped/modelBipedMain
aaf/j,net/minecraft/inventory/ContainerWorkbench/field_75163_j,net/minecraft/inventory/ContainerWorkbench/posZ
bcw/s,net/minecraft/client/gui/GuiYesNo/field_146353_s,net/minecraft/client/gui/GuiYesNo/field_146353_s
bcw/r,net/minecraft/client/gui/GuiYesNo/field_146354_r,net/minecraft/client/gui/GuiYesNo/field_146354_r
bcw/a,net/minecraft/client/gui/GuiYesNo/field_146355_a,net/minecraft/client/gui/GuiYesNo/parentScreen
bcw/h,net/minecraft/client/gui/GuiYesNo/field_146356_h,net/minecraft/client/gui/GuiYesNo/cancelButtonText
bcw/g,net/minecraft/client/gui/GuiYesNo/field_146352_g,net/minecraft/client/gui/GuiYesNo/confirmButtonText
bcw/f,net/minecraft/client/gui/GuiYesNo/field_146351_f,net/minecraft/client/gui/GuiYesNo/field_146351_f
bfo/u,net/minecraft/client/renderer/InventoryEffectRenderer/field_147045_u,net/minecraft/client/renderer/InventoryEffectRenderer/field_147045_u
bqo/a,net/minecraft/client/resources/ResourceIndex/field_152783_a,net/minecraft/client/resources/ResourceIndex/field_152783_a
bqo/b,net/minecraft/client/resources/ResourceIndex/field_152784_b,net/minecraft/client/resources/ResourceIndex/field_152784_b
zy/a,net/minecraft/inventory/ContainerBeacon$BeaconSlot/field_82876_a,net/minecraft/inventory/ContainerBeacon$BeaconSlot/beacon
oy/e,net/minecraft/network/rcon/RConThreadQuery$Auth/field_72597_e,net/minecraft/network/rcon/RConThreadQuery$Auth/challengeValue
oy/f,net/minecraft/network/rcon/RConThreadQuery$Auth/field_72595_f,net/minecraft/network/rcon/RConThreadQuery$Auth/requestIdAsString
dh/c,net/minecraft/nbt/NBTTagCompound/field_74784_a,net/minecraft/nbt/NBTTagCompound/tagMap
dh/b,net/minecraft/nbt/NBTTagCompound/field_150301_b,net/minecraft/nbt/NBTTagCompound/logger
ayl/h,net/minecraft/world/WorldSavedData/field_76190_i,net/minecraft/world/WorldSavedData/mapName
bel/b,net/minecraft/client/gui/achievement/GuiStats$StatsBlock$1/field_148340_b,net/minecraft/client/gui/achievement/GuiStats$StatsBlock$1/field_148340_b
ayl/a,net/minecraft/world/WorldSavedData/field_76189_a,net/minecraft/world/WorldSavedData/dirty
bel/a,net/minecraft/client/gui/achievement/GuiStats$StatsBlock$1/field_148341_a,net/minecraft/client/gui/achievement/GuiStats$StatsBlock$1/field_148341_a
bpl/b,net/minecraft/client/shader/ShaderLoader/field_148059_b,net/minecraft/client/shader/ShaderLoader/field_148059_b
nv/b,net/minecraft/server/management/PlayerProfileCache$ProfileEntry/field_152672_b,net/minecraft/server/management/PlayerProfileCache$ProfileEntry/field_152672_b
nv/a,net/minecraft/server/management/PlayerProfileCache$ProfileEntry/field_152671_a,net/minecraft/server/management/PlayerProfileCache$ProfileEntry/field_152671_a
bpl/a,net/minecraft/client/shader/ShaderLoader/field_148061_a,net/minecraft/client/shader/ShaderLoader/field_148061_a
bpl/d,net/minecraft/client/shader/ShaderLoader/field_148058_d,net/minecraft/client/shader/ShaderLoader/field_148058_d
amz/a,net/minecraft/block/BlockRedstoneOre/field_150187_a,net/minecraft/block/BlockRedstoneOre/field_150187_a
bpl/c,net/minecraft/client/shader/ShaderLoader/field_148060_c,net/minecraft/client/shader/ShaderLoader/field_148060_c
nv/c,net/minecraft/server/management/PlayerProfileCache$ProfileEntry/field_152673_c,net/minecraft/server/management/PlayerProfileCache$ProfileEntry/field_152673_c
ami/M,net/minecraft/block/BlockNewLog/field_150169_M,net/minecraft/block/BlockNewLog/field_150169_M
abi/a,net/minecraft/item/ItemReed/field_150935_a,net/minecraft/item/ItemReed/field_150935_a
bgb/c,net/minecraft/client/gui/ServerListEntryLanDetected/field_148292_c,net/minecraft/client/gui/ServerListEntryLanDetected/field_148292_c
adp/d,net/minecraft/item/ItemPotion/field_94590_d,net/minecraft/item/ItemPotion/field_94590_d
bgb/b,net/minecraft/client/gui/ServerListEntryLanDetected/field_148291_b,net/minecraft/client/gui/ServerListEntryLanDetected/field_148291_b
adp/b,net/minecraft/item/ItemPotion/field_77835_b,net/minecraft/item/ItemPotion/field_77835_b
bgb/d,net/minecraft/client/gui/ServerListEntryLanDetected/field_148290_d,net/minecraft/client/gui/ServerListEntryLanDetected/field_148290_d
adp/c,net/minecraft/item/ItemPotion/field_94591_c,net/minecraft/item/ItemPotion/field_94591_c
ms/d,net/minecraft/world/gen/ChunkProviderServer/field_73249_c,net/minecraft/world/gen/ChunkProviderServer/defaultEmptyChunk
ms/c,net/minecraft/world/gen/ChunkProviderServer/field_73248_b,net/minecraft/world/gen/ChunkProviderServer/chunksToUnload
ms/b,net/minecraft/world/gen/ChunkProviderServer/field_147417_b,net/minecraft/world/gen/ChunkProviderServer/logger
bs/b,net/minecraft/command/CommandSpreadPlayers$Position/field_111100_b,net/minecraft/command/CommandSpreadPlayers$Position/field_111100_b
ms/a,net/minecraft/world/gen/ChunkProviderServer/field_73250_a,net/minecraft/world/gen/ChunkProviderServer/loadChunkOnProvideRequest
ms/h,net/minecraft/world/gen/ChunkProviderServer/field_73245_g,net/minecraft/world/gen/ChunkProviderServer/loadedChunks
bs/a,net/minecraft/command/CommandSpreadPlayers$Position/field_111101_a,net/minecraft/command/CommandSpreadPlayers$Position/field_111101_a
ms/g,net/minecraft/world/gen/ChunkProviderServer/field_73244_f,net/minecraft/world/gen/ChunkProviderServer/loadedChunkHashMap
adp/m,net/minecraft/item/ItemPotion/field_94592_ct,net/minecraft/item/ItemPotion/field_94592_ct
ms/f,net/minecraft/world/gen/ChunkProviderServer/field_73247_e,net/minecraft/world/gen/ChunkProviderServer/currentChunkLoader
ms/e,net/minecraft/world/gen/ChunkProviderServer/field_73246_d,net/minecraft/world/gen/ChunkProviderServer/currentChunkProvider
bgb/a,net/minecraft/client/gui/ServerListEntryLanDetected/field_148293_a,net/minecraft/client/gui/ServerListEntryLanDetected/field_148293_a
bfp/b,net/minecraft/util/EnchantmentNameParts/field_148336_b,net/minecraft/util/EnchantmentNameParts/rand
bfp/a,net/minecraft/util/EnchantmentNameParts/field_148338_a,net/minecraft/util/EnchantmentNameParts/instance
ne/a,net/minecraft/network/NetworkSystem$2/field_151281_a,net/minecraft/network/NetworkSystem$2/field_151281_a
bqp/a,net/minecraft/client/resources/DefaultResourcePack/field_110608_a,net/minecraft/client/resources/DefaultResourcePack/defaultResourceDomains
bqp/b,net/minecraft/client/resources/DefaultResourcePack/field_152781_b,net/minecraft/client/resources/DefaultResourcePack/field_152781_b
mb/a,net/minecraft/server/gui/MinecraftServerGui$3/field_120032_a,net/minecraft/server/gui/MinecraftServerGui$3/field_120032_a
bfp/c,net/minecraft/util/EnchantmentNameParts/field_148337_c,net/minecraft/util/EnchantmentNameParts/namePartsArray
ms/i,net/minecraft/world/gen/ChunkProviderServer/field_73251_h,net/minecraft/world/gen/ChunkProviderServer/worldObj
bhv/c,net/minecraft/client/model/TexturedQuad/field_78238_c,net/minecraft/client/model/TexturedQuad/invertNormal
bhv/a,net/minecraft/client/model/TexturedQuad/field_78239_a,net/minecraft/client/model/TexturedQuad/vertexPositions
bhv/b,net/minecraft/client/model/TexturedQuad/field_78237_b,net/minecraft/client/model/TexturedQuad/nVertices
bhe/a,net/minecraft/client/model/ModelBoat/field_78103_a,net/minecraft/client/model/ModelBoat/boatSides
lp/a,net/minecraft/scoreboard/ServerScoreboard/field_96555_a,net/minecraft/scoreboard/ServerScoreboard/scoreboardMCServer
lp/b,net/minecraft/scoreboard/ServerScoreboard/field_96553_b,net/minecraft/scoreboard/ServerScoreboard/field_96553_b
lp/c,net/minecraft/scoreboard/ServerScoreboard/field_96554_c,net/minecraft/scoreboard/ServerScoreboard/field_96554_c
aps/j,net/minecraft/tileentity/TileEntityPiston/field_145874_j,net/minecraft/tileentity/TileEntityPiston/storedOrientation
aps/i,net/minecraft/tileentity/TileEntityPiston/field_145876_i,net/minecraft/tileentity/TileEntityPiston/storedMetadata
aps/a,net/minecraft/tileentity/TileEntityPiston/field_145869_a,net/minecraft/tileentity/TileEntityPiston/storedBlock
aid/aH,net/minecraft/world/biome/BiomeGenHills/field_150638_aH,net/minecraft/world/biome/BiomeGenHills/field_150638_aH
aid/aG,net/minecraft/world/biome/BiomeGenHills/field_150637_aG,net/minecraft/world/biome/BiomeGenHills/field_150637_aG
aid/aF,net/minecraft/world/biome/BiomeGenHills/field_150636_aF,net/minecraft/world/biome/BiomeGenHills/field_150636_aF
aps/n,net/minecraft/tileentity/TileEntityPiston/field_145870_n,net/minecraft/tileentity/TileEntityPiston/lastProgress
aps/m,net/minecraft/tileentity/TileEntityPiston/field_145873_m,net/minecraft/tileentity/TileEntityPiston/progress
aps/l,net/minecraft/tileentity/TileEntityPiston/field_145872_l,net/minecraft/tileentity/TileEntityPiston/shouldHeadBeRendered
aps/k,net/minecraft/tileentity/TileEntityPiston/field_145875_k,net/minecraft/tileentity/TileEntityPiston/extending
aid/aE,net/minecraft/world/biome/BiomeGenHills/field_150635_aE,net/minecraft/world/biome/BiomeGenHills/field_150635_aE
aid/aD,net/minecraft/world/biome/BiomeGenHills/field_150634_aD,net/minecraft/world/biome/BiomeGenHills/field_150634_aD
aid/aC,net/minecraft/world/biome/BiomeGenHills/field_82915_S,net/minecraft/world/biome/BiomeGenHills/theWorldGenerator
aps/o,net/minecraft/tileentity/TileEntityPiston/field_145871_o,net/minecraft/tileentity/TileEntityPiston/pushedObjects
aeb/c,net/minecraft/item/ItemSkull/field_94586_c,net/minecraft/item/ItemSkull/field_94586_c
aeb/a,net/minecraft/item/ItemSkull/field_94587_a,net/minecraft/item/ItemSkull/field_94587_a
aeb/b,net/minecraft/item/ItemSkull/field_82807_a,net/minecraft/item/ItemSkull/skullTypes
bse/a,net/minecraft/client/resources/data/LanguageMetadataSection/field_135019_a,net/minecraft/client/resources/data/LanguageMetadataSection/languages
brs/d,net/minecraft/client/resources/Locale/field_135029_d,net/minecraft/client/resources/Locale/field_135029_d
bgs/r,net/minecraft/client/gui/stream/GuiTwitchUserMode/field_152332_r,net/minecraft/client/gui/stream/GuiTwitchUserMode/field_152332_r
apb/j,net/minecraft/tileentity/TileEntityDispenser/field_146021_j,net/minecraft/tileentity/TileEntityDispenser/field_146021_j
bgs/t,net/minecraft/client/gui/stream/GuiTwitchUserMode/field_152334_t,net/minecraft/client/gui/stream/GuiTwitchUserMode/field_152334_t
apb/i,net/minecraft/tileentity/TileEntityDispenser/field_146022_i,net/minecraft/tileentity/TileEntityDispenser/field_146022_i
bgs/s,net/minecraft/client/gui/stream/GuiTwitchUserMode/field_152333_s,net/minecraft/client/gui/stream/GuiTwitchUserMode/field_152333_s
brs/b,net/minecraft/client/resources/Locale/field_135030_b,net/minecraft/client/resources/Locale/splitter
brs/c,net/minecraft/client/resources/Locale/field_135031_c,net/minecraft/client/resources/Locale/field_135031_c
apb/a,net/minecraft/tileentity/TileEntityDispenser/field_146020_a,net/minecraft/tileentity/TileEntityDispenser/field_146020_a
brs/a,net/minecraft/client/resources/Locale/field_135032_a,net/minecraft/client/resources/Locale/field_135032_a
bgs/f,net/minecraft/client/gui/stream/GuiTwitchUserMode/field_152335_f,net/minecraft/client/gui/stream/GuiTwitchUserMode/field_152335_f
bgs/h,net/minecraft/client/gui/stream/GuiTwitchUserMode/field_152337_h,net/minecraft/client/gui/stream/GuiTwitchUserMode/field_152337_h
bgs/g,net/minecraft/client/gui/stream/GuiTwitchUserMode/field_152336_g,net/minecraft/client/gui/stream/GuiTwitchUserMode/field_152336_g
bgs/a,net/minecraft/client/gui/stream/GuiTwitchUserMode/field_152331_a,net/minecraft/client/gui/stream/GuiTwitchUserMode/field_152331_a
adp/a,net/minecraft/item/ItemPotion/field_77836_a,net/minecraft/item/ItemPotion/effectCache
bgs/i,net/minecraft/client/gui/stream/GuiTwitchUserMode/field_152338_i,net/minecraft/client/gui/stream/GuiTwitchUserMode/field_152338_i
biy/a,net/minecraft/client/model/TextureOffset/field_78783_a,net/minecraft/client/model/TextureOffset/textureOffsetX
biy/b,net/minecraft/client/model/TextureOffset/field_78782_b,net/minecraft/client/model/TextureOffset/textureOffsetY
vm/b,net/minecraft/entity/ai/EntityAIDefendVillage/field_75304_b,net/minecraft/entity/ai/EntityAIDefendVillage/villageAgressorTarget
vm/a,net/minecraft/entity/ai/EntityAIDefendVillage/field_75305_a,net/minecraft/entity/ai/EntityAIDefendVillage/irongolem
afv/e,net/minecraft/enchantment/EnchantmentHelper/field_151389_e,net/minecraft/enchantment/EnchantmentHelper/field_151389_e
afv/d,net/minecraft/enchantment/EnchantmentHelper/field_151388_d,net/minecraft/enchantment/EnchantmentHelper/field_151388_d
bih/b,net/minecraft/client/model/ModelSquid/field_78201_b,net/minecraft/client/model/ModelSquid/squidTentacles
afv/c,net/minecraft/enchantment/EnchantmentHelper/field_77521_c,net/minecraft/enchantment/EnchantmentHelper/enchantmentModifierLiving
afv/b,net/minecraft/enchantment/EnchantmentHelper/field_77520_b,net/minecraft/enchantment/EnchantmentHelper/enchantmentModifierDamage
afv/a,net/minecraft/enchantment/EnchantmentHelper/field_77522_a,net/minecraft/enchantment/EnchantmentHelper/enchantmentRand
bih/a,net/minecraft/client/model/ModelSquid/field_78202_a,net/minecraft/client/model/ModelSquid/squidBody
aqv/e,net/minecraft/world/gen/ChunkProviderHell/field_73170_e,net/minecraft/world/gen/ChunkProviderHell/noiseData2
uj/a,net/minecraft/entity/ai/EntityAITasks/field_151506_a,net/minecraft/entity/ai/EntityAITasks/logger
aqv/f,net/minecraft/world/gen/ChunkProviderHell/field_73167_f,net/minecraft/world/gen/ChunkProviderHell/noiseData3
aqv/g,net/minecraft/world/gen/ChunkProviderHell/field_73168_g,net/minecraft/world/gen/ChunkProviderHell/noiseData4
aqv/h,net/minecraft/world/gen/ChunkProviderHell/field_73180_h,net/minecraft/world/gen/ChunkProviderHell/noiseData5
aqv/a,net/minecraft/world/gen/ChunkProviderHell/field_73173_a,net/minecraft/world/gen/ChunkProviderHell/netherNoiseGen6
aqv/b,net/minecraft/world/gen/ChunkProviderHell/field_73171_b,net/minecraft/world/gen/ChunkProviderHell/netherNoiseGen7
aqv/c,net/minecraft/world/gen/ChunkProviderHell/field_73172_c,net/minecraft/world/gen/ChunkProviderHell/genNetherBridge
aqv/d,net/minecraft/world/gen/ChunkProviderHell/field_73169_d,net/minecraft/world/gen/ChunkProviderHell/noiseData1
uj/f,net/minecraft/entity/ai/EntityAITasks/field_75779_e,net/minecraft/entity/ai/EntityAITasks/tickRate
uj/d,net/minecraft/entity/ai/EntityAITasks/field_75781_c,net/minecraft/entity/ai/EntityAITasks/theProfiler
uj/e,net/minecraft/entity/ai/EntityAITasks/field_75778_d,net/minecraft/entity/ai/EntityAITasks/tickCount
uj/b,net/minecraft/entity/ai/EntityAITasks/field_75782_a,net/minecraft/entity/ai/EntityAITasks/taskEntries
uj/c,net/minecraft/entity/ai/EntityAITasks/field_75780_b,net/minecraft/entity/ai/EntityAITasks/executingTaskEntries
jj/b,net/minecraft/network/play/client/C0BPacketEntityAction/field_149515_b,net/minecraft/network/play/client/C0BPacketEntityAction/field_149515_b
jj/a,net/minecraft/network/play/client/C0BPacketEntityAction/field_149517_a,net/minecraft/network/play/client/C0BPacketEntityAction/field_149517_a
